date,campaign_id,campaign_name,ad_format,device,impressions,clicks,ctr,cpc,spend,conversions,cpa,revenue,roas
2026-01-01,retargeting_cart,Ретаргетинг: брошенная корзина,text-image,desktop,1826,22,1.2048,34.66,762.49,1,762.49,6854.83,8.99
2026-01-01,retargeting_cart,Ретаргетинг: брошенная корзина,text-image,mobile,2932,41,1.3984,25.14,1030.55,1,1030.55,8936.02,8.67
2026-01-01,retargeting_cart,Ретаргетинг: брошенная корзина,image-banner,desktop,2580,47,1.8217,44.94,2112.22,2,1056.11,14993.38,7.1
2026-01-01,retargeting_cart,Ретаргетинг: брошенная корзина,image-banner,mobile,3655,50,1.368,32.82,1641.13,1,1641.13,10184.02,6.21
2026-01-01,retargeting_cart,Ретаргетинг: брошенная корзина,video,desktop,2524,54,2.1395,40.72,2198.82,2,1099.41,21912.18,9.97
2026-01-01,retargeting_cart,Ретаргетинг: брошенная корзина,video,mobile,4237,106,2.5018,43.31,4590.83,3,1530.28,20195.39,4.4
2026-01-01,retargeting_viewed,Ретаргетинг: просмотр товаров,text-image,desktop,3498,29,0.829,19.67,570.44,0,,0.0,0.0
2026-01-01,retargeting_viewed,Ретаргетинг: просмотр товаров,text-image,mobile,6368,59,0.9265,11.68,689.31,1,689.31,5889.68,8.54
2026-01-01,retargeting_viewed,Ретаргетинг: просмотр товаров,image-banner,desktop,3666,36,0.982,26.63,958.75,1,958.75,5047.09,5.26
2026-01-01,retargeting_viewed,Ретаргетинг: просмотр товаров,image-banner,mobile,5759,76,1.3197,19.0,1444.32,1,1444.32,7776.13,5.38
2026-01-01,retargeting_viewed,Ретаргетинг: просмотр товаров,video,desktop,3331,41,1.2309,38.09,1561.49,1,1561.49,6416.34,4.11
2026-01-01,retargeting_viewed,Ретаргетинг: просмотр товаров,video,mobile,4278,52,1.2155,17.58,914.41,0,,0.0,0.0
2026-01-01,lookalike_buyers,Look-alike: покупатели,text-image,desktop,7393,35,0.4734,19.66,688.13,0,,0.0,0.0
2026-01-01,lookalike_buyers,Look-alike: покупатели,text-image,mobile,7848,64,0.8155,13.96,893.25,0,,0.0,0.0
2026-01-01,lookalike_buyers,Look-alike: покупатели,image-banner,desktop,7533,75,0.9956,21.74,1630.28,1,1630.28,6486.52,3.98
2026-01-01,lookalike_buyers,Look-alike: покупатели,image-banner,mobile,8235,84,1.02,15.04,1263.73,1,1263.73,7171.4,5.67
2026-01-01,lookalike_buyers,Look-alike: покупатели,video,desktop,5902,51,0.8641,22.63,1154.07,0,,0.0,0.0
2026-01-01,lookalike_buyers,Look-alike: покупатели,video,mobile,9663,102,1.0556,18.52,1889.14,1,1889.14,7289.62,3.86
2026-01-01,interests_electronics,Интересы: электроника и гаджеты,text-image,desktop,8001,32,0.4,12.37,395.98,0,,0.0,0.0
2026-01-01,interests_electronics,Интересы: электроника и гаджеты,text-image,mobile,14203,78,0.5492,10.26,800.42,0,,0.0,0.0
2026-01-01,interests_electronics,Интересы: электроника и гаджеты,image-banner,desktop,7204,42,0.583,16.31,684.97,0,,0.0,0.0
2026-01-01,interests_electronics,Интересы: электроника и гаджеты,image-banner,mobile,17215,126,0.7319,11.86,1494.41,1,1494.41,3534.13,2.36
2026-01-01,interests_electronics,Интересы: электроника и гаджеты,video,desktop,8033,52,0.6473,13.49,701.64,0,,0.0,0.0
2026-01-01,interests_electronics,Интересы: электроника и гаджеты,video,mobile,13401,71,0.5298,8.93,633.77,0,,0.0,0.0
2026-01-01,topics_reviews,Тематика: сайты обзоров техники,text-image,desktop,4158,24,0.5772,12.76,306.31,0,,0.0,0.0
2026-01-01,topics_reviews,Тематика: сайты обзоров техники,text-image,mobile,10003,61,0.6098,11.21,684.09,0,,0.0,0.0
